id,grade,question,survey_id
4902,4,Czy nauczyciel był przygotowany do zajęć?,902
9578,3,Czy nauczyciel był pomocny w przygotowaniu do egzaminów?,578
3960,5,Czy zajęcia były prowadzone w sposób przystosowany do indywidualnych potrzeb ucznia?,960
1263,3,Czy zajęcia były prowadzone w sposób interesujący?,263
8205,1,Czy nauczyciel był dostępny poza zajęciami?,205
418,4,Czy zajęcia były prowadzone w sposób zrozumiały?,418
9318,3,Czy nauczyciel był pomocny w przygotowaniu do egzaminów?,318
3521,2,Czy zajęcia były prowadzone w sposób przystosowany do indywidualnych potrzeb ucznia?,521
290,3,Czy zajęcia były prowadzone w sposób zrozumiały?,290
1791,1,Czy zajęcia były prowadzone w sposób interesujący?,791
