id,grade,question,survey_id
10001,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1001
10002,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1002
10003,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1003
10004,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1004
10005,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1005
10006,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1006
10007,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1007
10008,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1008
10009,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1009
10010,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1010
10011,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1011
10012,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1012
10013,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1013
10014,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1014
10015,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1015
10016,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1016
10017,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1017
10018,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1018
10019,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1019
10020,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1020
10021,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1021
10022,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1022
10023,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1023
10024,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1024
10025,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1025
10026,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1026
10027,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1027
10028,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1028
10029,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1029
10030,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1030
10031,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1031
10032,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1032
10033,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1033
10034,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1034
10035,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1035
10036,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1036
10037,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1037
10038,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1038
10039,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1039
10040,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1040
10041,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1041
10042,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1042
10043,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1043
10044,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1044
10045,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1045
10046,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1046
10047,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1047
10048,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1048
10049,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1049
10050,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1050
10051,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1051
10052,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1052
10053,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1053
10054,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1054
10055,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1055
10056,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1056
10057,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1057
10058,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1058
10059,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1059
10060,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1060
10061,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1061
10062,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1062
10063,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1063
10064,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1064
10065,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1065
10066,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1066
10067,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1067
10068,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1068
10069,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1069
10070,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1070
10071,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1071
10072,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1072
10073,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1073
10074,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1074
10075,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1075
10076,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1076
10077,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1077
10078,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1078
10079,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1079
10080,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1080
10081,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1081
10082,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1082
10083,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1083
10084,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1084
10085,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1085
10086,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1086
10087,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1087
10088,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1088
10089,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1089
10090,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1090
10091,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1091
10092,4,Czy zajęcia były prowadzone w sposób zrozumiały?,1092
10093,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1093
10094,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1094
10095,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1095
10096,1,Czy zajęcia były prowadzone w sposób zrozumiały?,1096
10097,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1097
10098,2,Czy zajęcia były prowadzone w sposób zrozumiały?,1098
10099,3,Czy zajęcia były prowadzone w sposób zrozumiały?,1099
10100,5,Czy zajęcia były prowadzone w sposób zrozumiały?,1100
10101,5,Czy zajęcia były prowadzone w sposób interesujący?,1001
10102,2,Czy zajęcia były prowadzone w sposób interesujący?,1002
10103,5,Czy zajęcia były prowadzone w sposób interesujący?,1003
10104,5,Czy zajęcia były prowadzone w sposób interesujący?,1004
10105,2,Czy zajęcia były prowadzone w sposób interesujący?,1005
10106,5,Czy zajęcia były prowadzone w sposób interesujący?,1006
10107,4,Czy zajęcia były prowadzone w sposób interesujący?,1007
10108,5,Czy zajęcia były prowadzone w sposób interesujący?,1008
10109,5,Czy zajęcia były prowadzone w sposób interesujący?,1009
10110,5,Czy zajęcia były prowadzone w sposób interesujący?,1010
10111,5,Czy zajęcia były prowadzone w sposób interesujący?,1011
10112,4,Czy zajęcia były prowadzone w sposób interesujący?,1012
10113,2,Czy zajęcia były prowadzone w sposób interesujący?,1013
10114,3,Czy zajęcia były prowadzone w sposób interesujący?,1014
