id,title,grade,student_id,subject_id,date
1001,test,2,101,118,2023-07-04
1002,quiz,5,106,91,2024-01-07
1003,zadanie domowe,5,103,81,2023-11-10
1004,zadanie domowe,7,108,83,2024-06-28
1005,aktywnoÅ›Ä‡,2,101,85,2024-07-24
1006,quiz,3,101,107,2024-02-06
1007,kartkÃ³wka,10,103,87,2024-05-05
1008,zadanie domowe,3,109,101,2023-02-02
1009,kolokwium,3,110,77,2023-10-14
1010,zadanie domowe,1,109,81,2023-04-06
1011,kartkÃ³wka,10,107,90,2023-12-03
1012,egzamin,8,110,96,2024-12-20
1013,test,5,108,106,2023-05-13
1014,test,7,108,101,2023-12-30
1015,test,7,104,76,2024-02-10
1016,wejÅ›ciÃ³wka,6,110,102,2023-10-01
1017,kolokwium,8,110,104,2023-09-23
1018,kartkÃ³wka,9,106,74,2024-07-01
1019,kartkÃ³wka,3,104,89,2023-04-13
1020,aktywnoÅ›Ä‡,5,109,97,2023-10-26
1021,quiz,2,102,120,2023-06-12
1022,zadanie domowe,9,103,92,2023-07-20
1023,kartkÃ³wka,4,103,77,2023-02-13
1024,kartkÃ³wka,3,105,101,2024-01-21
1025,zadanie domowe,9,107,90,2024-05-25
1026,kolokwium,7,102,99,2023-07-19
1027,test,4,105,117,2023-07-06
1028,kartkÃ³wka,6,109,83,2023-12-03
1029,quiz,3,105,90,2024-06-03
1030,zadanie domowe,7,104,80,2023-02-24
1031,zadanie domowe,3,108,93,2024-01-23
1032,kolokwium,7,104,95,2024-06-01
1033,wejÅ›ciÃ³wka,2,104,94,2024-01-02
1034,kartkÃ³wka,5,107,98,2023-07-06
1035,kartkÃ³wka,3,106,100,2024-07-28
1036,kartkÃ³wka,9,104,105,2023-01-17
1037,kolokwium,8,105,76,2024-08-15
1038,kartkÃ³wka,3,102,111,2023-09-06
1039,test,5,101,119,2023-04-04
1040,quiz,10,102,90,2024-07-05
1041,egzamin,2,106,109,2023-01-27
1042,egzamin,5,106,97,2023-11-13
1043,zadanie domowe,6,107,88,2024-12-09
1044,quiz,10,108,89,2023-07-12
1045,zadanie domowe,7,105,90,2023-11-28
1046,wejÅ›ciÃ³wka,2,103,80,2024-07-04
1047,egzamin,2,101,108,2024-08-22
1048,quiz,9,106,116,2023-09-02
1049,kolokwium,10,106,79,2023-07-15
1050,test,6,105,93,2024-02-23
1051,wejÅ›ciÃ³wka,2,107,80,2024-11-18
1052,zadanie domowe,9,104,114,2024-06-03
1053,kartkÃ³wka,5,108,108,2023-05-23
1054,test,5,104,96,2023-02-18
1055,quiz,5,107,116,2023-10-29
1056,kartkÃ³wka,3,108,94,2023-08-19
1057,zadanie domowe,10,103,115,2024-04-20
1058,kartkÃ³wka,9,106,75,2023-06-19
1059,zadanie domowe,1,105,118,2024-02-28
1060,wejÅ›ciÃ³wka,3,106,113,2023-06-03
1061,kartkÃ³wka,6,105,80,2023-03-21
1062,egzamin,3,109,95,2024-02-10
1063,egzamin,7,102,94,2024-08-24
1064,quiz,5,105,93,2023-05-18
1065,test,1,102,90,2023-06-17
1066,egzamin,5,108,118,2023-05-28
1067,zadanie domowe,2,104,87,2023-02-13
1068,aktywnoÅ›Ä‡,2,109,109,2024-07-19
1069,kolokwium,1,101,117,2023-04-13
1070,test,10,109,93,2024-08-17
1071,aktywnoÅ›Ä‡,4,104,78,2024-05-18
1072,aktywnoÅ›Ä‡,2,102,80,2023-08-12
1073,egzamin,8,105,80,2024-10-19
1074,kolokwium,9,107,80,2023-01-20
1075,aktywnoÅ›Ä‡,6,101,117,2023-12-26
1076,aktywnoÅ›Ä‡,8,102,115,2023-06-01
1077,kartkÃ³wka,9,108,103,2023-04-27
1078,test,2,109,114,2024-05-11
1079,aktywnoÅ›Ä‡,2,109,113,2023-03-31
1080,aktywnoÅ›Ä‡,10,105,106,2023-07-04
1081,quiz,2,101,111,2024-06-10
1082,quiz,9,110,113,2024-08-15
1083,quiz,4,110,117,2023-01-09
1084,kolokwium,2,104,91,2023-05-09
1085,aktywnoÅ›Ä‡,4,107,114,2023-07-11
1086,test,9,102,82,2023-04-22
1087,quiz,5,107,110,2023-06-10
1088,quiz,7,101,99,2023-12-12
1089,zadanie domowe,7,101,95,2024-12-12
1090,kartkÃ³wka,7,104,105,2024-11-07
1091,test,10,109,103,2023-02-05
1092,test,9,101,113,2023-03-25
1093,aktywnoÅ›Ä‡,1,108,101,2023-08-30
1094,aktywnoÅ›Ä‡,10,103,120,2024-06-02
1095,kolokwium,5,101,74,2023-12-29
1096,aktywnoÅ›Ä‡,2,103,73,2024-09-08
1097,zadanie domowe,7,110,99,2024-08-15
1098,test,3,105,84,2024-03-15
1099,quiz,1,109,116,2024-07-19
1100,egzamin,1,109,79,2023-03-23
